Reporting Economy,Partner Economy,PSI Reporting Economy,PSI Partner Economy,Year,Value
Panama,Canada,0.307207077741623,0.962336957454681,2021,50682.0
Panama,Chile,0.307207077741623,0.161427184939384,2021,319.0
Panama,China,0.307207077741623,-0.516462862491608,2021,14695182.0
Panama,Colombia,0.307207077741623,-0.954574346542358,2021,99045.0
Panama,Costa Rica,0.307207077741623,0.860422551631927,2021,24430.0
Panama,Dominican Republic,0.307207077741623,0.287386029958725,2021,6867.0
Panama,El Salvador,0.307207077741623,-0.091492086648941,2021,1411.0
Panama,European Union,0.307207077741623,0.7259235094192634,2021,1535625.0
Panama,Guatemala,0.307207077741623,-0.395517915487289,2021,609.0
Panama,Hong Kong,0.307207077741623,0.263934075832367,2021,148734.0
Panama,India,0.307207077741623,-0.691076755523682,2021,4302.0
Panama,Indonesia,0.307207077741623,-0.531449198722839,2021,2495.0
Panama,Israel,0.307207077741623,-1.12231314182281,2021,54007.0
Panama,Japan,0.307207077741623,1.0155017375946,2021,23401.0
Panama,Malaysia,0.307207077741623,0.0595565475523472,2021,75556.0
Panama,Mexico,0.307207077741623,-0.687615871429443,2021,503502.0
Panama,Myanmar,0.307207077741623,-2.08407926559448,2021,341.0
Panama,Norway,0.307207077741623,1.08862638473511,2021,4616.0
Panama,Peru,0.307207077741623,-0.355252951383591,2021,3682.0
Panama,Singapore,0.307207077741623,1.44250547885895,2021,23356.0
Panama,South Korea,0.307207077741623,0.629045724868774,2021,54488.0
Panama,Switzerland,0.307207077741623,1.11537563800812,2021,10767.0
Panama,Taiwan,0.307207077741623,0.767897605895996,2021,63133.0
Panama,Thailand,0.307207077741623,-0.56877988576889,2021,10819.0
Panama,Turkey,0.307207077741623,-1.13679277896881,2021,154.0
Panama,United Arab Emirates,0.307207077741623,0.597572147846222,2021,437.0
Panama,United Kingdom,0.307207077741623,0.489994138479233,2021,13195.0
Panama,United States,0.307207077741623,-0.0144246527925134,2021,1468642.0
Panama,Uruguay,0.307207077741623,1.04597175121307,2021,2280.0
Philippines,Albania,-0.984022319316864,0.196371927857399,2021,44240.0
Philippines,Australia,-0.984022319316864,0.83507913351059,2021,667911.0
Philippines,Brazil,-0.984022319316864,-0.419879764318466,2021,42233.0
Philippines,Brunei,-0.984022319316864,1.17180991172791,2021,452.0
Philippines,Cambodia,-0.984022319316864,-0.131522253155708,2021,4136.0
Philippines,Cameroon,-0.984022319316864,-1.39408874511719,2021,103713.0
Philippines,Canada,-0.984022319316864,0.962336957454681,2021,4839090.0
Philippines,China,-0.984022319316864,-0.516462862491608,2021,1824601458.0
Philippines,Colombia,-0.984022319316864,-0.954574346542358,2021,1220.0
Philippines,Costa Rica,-0.984022319316864,0.860422551631927,2021,61111.0
